,/jointset/knee_r/knee_angle_r/value,/jointset/ankle_r/ankle_angle_r/value,/forceset/bifemlh_r/activation,/forceset/bifemsh_r/activation,/forceset/glut_max2_r/activation,/forceset/psoas_r/activation,/forceset/rect_fem_r/activation,/forceset/vas_int_r/activation,/forceset/med_gas_r/activation,/forceset/soleus_r/activation,/forceset/tib_ant_r/activation
0,-1.83886604329741,-0.4465180813090206,0.16762076928809583,0.32690097463047263,0.19257461926043035,0.2546837851405144,0.5241544350570441,1.0,0.32370500828504567,0.0800074142529267,0.27551394555497166
1,-1.7004309264991582,-0.46343185340142257,0.20855218371856807,0.3618949112050664,0.18570827198147774,0.26031524121761324,0.5303409068769216,1.0,0.33637701610565185,0.08211772708402663,0.25268747525450586
2,-1.602236946238011,-0.5014581249427201,0.22723782128677963,0.383751493136183,0.19485468970537184,0.24941260606050492,0.5550951165485382,1.0,0.3323830859742165,0.08596000310739428,0.2537500722212851
3,-1.533225235909462,-0.5247369780015649,0.2505014612279326,0.387152368384155,0.19900413734555245,0.26758126497268675,0.5414345352885127,1.0,0.3449650610513687,0.09390593567984909,0.23337061376875937
4,-1.6351530421003402,-0.39276221810519707,0.22079764693729878,0.3477035363052463,0.170856433262825,0.20766921550035478,0.529597038962841,1.0,0.29279607683658604,0.055932668508747216,0.2332287630813509
5,-1.5297987892731726,-0.42020823025625953,0.23056845627135933,0.36361617221411224,0.17737565779447556,0.2262766033411026,0.5343340435263514,1.0,0.2969749874563217,0.0547682002668789,0.21141216235398946
6,-1.4320158647796513,-0.47908645191031707,0.23654903398163615,0.3805722976960194,0.177534369199872,0.21882240116596222,0.5432481673324108,1.0,0.29416040560770035,0.055885780536815824,0.19439366696089505
7,-1.3453495685828627,-0.5098105244804025,0.2568807166779488,0.3836958649503803,0.1841180741894245,0.22397653669118883,0.5401951723530889,1.0,0.30027247449302674,0.06134431947684199,0.17021754452996551
8,-1.4457690389658808,-0.4375417268764974,0.23849458723176717,0.3740378302211648,0.17457231238305568,0.19825312495231628,0.5271489568132162,1.0,0.2767592842679024,0.03751885604032546,0.1805875763620883
9,-1.3400042426699104,-0.4827891277150216,0.23681908228838444,0.3761040752252662,0.17485075876653194,0.20776725828647613,0.5281381669223308,1.0,0.2763707975168228,0.03198055738467276,0.15734926078868208
10,-1.2380383982914687,-0.5395845849659444,0.2394975145959258,0.38209826510089695,0.17204736280202865,0.2000974977016449,0.5280791404765844,1.0,0.2734539836392403,0.029995416848684845,0.1411662671109587
11,-1.1332268620292842,-0.6013903555600943,0.23930952451717258,0.38275640305955944,0.1776655291748047,0.20548784464597702,0.5304681480741501,1.0,0.2763632359762192,0.03331499083631128,0.12079229137414693
12,-1.215692820181191,-0.5532570521770717,0.2354462901774764,0.38311831349189934,0.17664372497618197,0.19152579069137574,0.5221289187586308,0.9984354500018955,0.2694620195083618,0.027158355206572712,0.13440485377360284
13,-1.1164221799074112,-0.6109416081011894,0.2365466524995625,0.38008038984552023,0.1801759194678068,0.19627456665039064,0.5207077380141616,0.9968048483221532,0.26806444516372685,0.024621329372263252,0.12229636360942722
14,-1.0138236464833021,-0.6680727560496929,0.23346545571143926,0.38118831292147515,0.1775315129506588,0.19294913709163666,0.5221387564995885,0.994242305531621,0.2670709847540855,0.024480901519260405,0.10814979053210616
